,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,IntelligenceServices,Serviços de Inteligência,intel,"Os serviços de segurança são uma ferramenta essencial na luta contra a criminalidade organizada e o terrorismo. Bom, a inteligência confiável pode ser difícil e caro para obter, e, em muitos casos, os métodos utilizados podem ser impopular com os liberais e defensores dos direitos humanos.",UNCANCELLABLE,13,13,7,8,LAWANDORDER,900,1600,,4,0,0,,#Effects,"Liberal,0-(0.18*x)","CrimeRate,0-(0.12*x),2","Patriot,0+(0.05*x)","_Terrorism,0.2-(0.3*x),2","_security_,0+(0.4*x),2",,,,,,
#,InternetCensorship,Censura na Internet,internetcensorship,"Liberais sugeriria que a maior característica da internet é a liberdade de censura e controle, levando a uma sociedade aberta e tolerante. A liberdade tem o seu preço no entanto, e não há falta de material na internet que podem ajudar aqueles com intenção criminosa. Opniões sobre o que deve e não deve ser censurado na web é amargamente dividida.",,27,27,14,10,LAWANDORDER,250,400,,1,0,0,,#Effects,"Conservatives,0.10+(0.15*x)","Technology,0.00-(0.12*x),4","Liberal,-0.25-(0.25*x)","Young,-0.08-(0.25*x)",,,,,,,
#,InternetTax,Imposto de Internet,tax,"À medida que mais e mais estabelecimentos de comércio 'fisicos' convencionais se move para a web, os governos são tentados a cobrar impostos sobre essas operações, a fim de 'nivelar o campo de jogo'. No entanto, os adversários de um crédito fiscal de internet que tal medida iria prejudicar a economia hi-tech e fazer mal enorme à competitividade do país.",,28,10,18,4,TAX,0,0,,1,115,7015,"GDP,0.2+(0.8*x)",#Effects,"Technology,-0.10-(0.23*x),4","GDP,0.00-(0.05*x),2","_MiddleIncome,0-(0.02*x)",,,,,,,,
#,JuryTrial,Tribunal do Júri,jurytrial,"O direito de ser julgado por membros comuns do público, em vez de um juiz é visto como um direito humano fundamental por muitos liberais. Os conservadores argumentam que tal processo é caro, desperdício de tempo e não é mais justo do que um juiz ou um grupo de magistrados. Sua perfeitamente possível ter um sistema em que um tribunal do júri é reservada para crimes mais graves, com ensaios menores presidida por um magistrado.",,18,25,8,10,LAWANDORDER,105,322,,1,0,0,,#Effects,"Liberal,0+(0.15*x)",,,,,,,,,,
#,LabourLaws,Leis do Trabalho,labourlaws,"As leis trabalhistas são, basicamente, as restrições sobre o direito do trabalhador à greve. Os capitalistas argumentam que tais restrições são vitais para evitar que os trabalhadores-chave, como os trabalhadores da central eléctrica, policiais e maquinistas parem o país. Os sindicalistas consideram o direito de greve a ser fundamental e não abertos à negociação.",UNCANCELLABLE,45,45,27,20,ECONOMY,100,160,,2,0,0,,#Effects,"Socialist,-0.05+(0.1*x)","TradeUnionist,-0.14+(0.28*x)","WorkingWeek,0.37-(0.56*x)","Capitalist,0.05-(0.1*x)","WorkerProductivity,0.05-(0.10*x)","TradeUnionist_freq,-0.10+(0.20*x),8","_global_socialism,-0.10+(0.20*x),8","Wages,-0.12+0.24*x)",,,
#,LegalAid,Assistência Jurídica,default,"Nem todo mundo tem o dinheiro para pagar um advogado para defender-se em tribunal. Apesar de um cidadão poder teoricamente defender-se, oferecer os advogados empregados do estado deve fazer um sistema mais justo. Por outro lado, este é basicamente um grande subsídio para as pessoas que já foram acusados ​​de um crime, mas lembre-se que eles são inocentes até que se prove culpado.",,13,13,7,9,LAWANDORDER,10,400,,1,0,0,,#Effects,"Liberal,0.05+(0.05*x)","Poor,0.025+(0.05*x)","Socialist,0.02+(0.02*x)","Equality,0.02+(0.04*x)","_LowIncome,0+(0.04*x)",,,,,,
#,LegaliseProstitution,Legalizar Prostituição,default,"Conservadores dizem que a legalização da prostituição irá marcar um declínio nos valores familiares. Outros dizem que a prostituição é improvável de desaparecer, mesmo se for ilegal, é melhor para a sociedade e para as prostitutas que a prática seja regulamentada e monitorada do que criminalizada.",,25,25,12,8,LAWANDORDER,0,0,,1,0,0,,#Effects,"Conservatives,-0.30-(0.10*x)","GDP,0.03+(0.02*x),2","Liberal,0.05+(0.03*x)","Parents,-0.08-(0.02*x)","Religious,-0.33-(0.07*x)",,,,,,
#,LuxuryGoodsTax,Imposto para Itens Luxuosos,luxtax,"Um imposto que visa  especificamente os grandes gastadores de nossa sociedade. Uma sobretaxa é adicionada a itens luxuosos como carros esportivos, iates particulares etc. Mesmo não sendo uma grande fonte de renda, esse imposto pode ser popular com as pessoas preocupadas com as diferenças entre pobres e ricos. O imposto para itens luxuosos pode encorajar pessoas que ganham muito a viver e trabalhar em outro lugar.",,14,8,7,3,TAX,0,0,,1,115,8137.4,"Wealthy_perc,0+(1.0*x)",#Effects,"Wealthy,0-(0.25*x)","Socialist,0+(0.4*x)","Capitalist,0-(0.08*x)","Equality,0.05+(0.2*x),4","_HighIncome,0-(0.18*x)",,,,,,
#,MarriedTaxAllowance,Redução de Imposto para Casais,marriedtax,"Isso é uma redução de impostos para casais, encorajando as pessoas a se casarem e ficarem juntas. A igreja acha essencial o estado encorajar valores tradicionais. Alguns veem isso como interferência religiosa no sistema de impostos sem razão.",,21,21,12,8,TAX,100,5200,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"Religious,0.1+(0.2*x)","Conservatives,0.07+(0.10*x)","Parents,0.02+(0.03*x)","_global_liberalism,-0.04-(0.04*x),12",,,,,,,
#,MaternityLeave,Licença Maternidade,maternityleave,"Para algumas pessoas, garantir que as mães tenham licença maternidade e que retornem a seu emprego depois é um sinal de uma sociedade civilizada que encoraja a mulher a trabalhar. Algumas empresas pequenas estão preocupadas que isso pode resultar em um fardo imprevisível e potencialmente perigoso para a empresa, especialmente se o número de empregados são pequenos. Com isso pode-se argumentar que isso pode na verdade encorajar os empregadores a não contratar mulheres.",,13,18,7,7,ECONOMY,0,0,,1,0,0,,#Effects,"Parents,0.07+(0.15*x)","WorkerProductivity,-0.05-(0.07*x)","Parents_income,0+(0.1*x)","Parents_freq,0.025+(0.04*x),4","TradeUnionist,0.06+(0.05*x)",,,,,,
#,MicrogenerationGrants,Subsídios de Micro-Geração,default,"Estes subsídios são dados aos cidadãos para ajudar a subsidiar o custo de sistemas de micro-energia como  painéis solares e turbinas de vento. Esse é um bom jeito de tomar vantagem de algumas pessoas que querem dar um passo para uma energia mais limpa e mais verde, e aumenta a eficiência energética do país.",,10,10,3,7,TAX,100,1100,"GDP,0.25+(0.75*x)",2,0,0,,#Effects,"Environmentalist,0.03+(0.06*x)","EnergyEfficiency,0.01+(0.11*x),4","Environmentalist_income,0.02+(0.05*x)","Environmentalist_freq,0.02+(0.06*x)","CO2Emissions,-0.02-(0.05*x),8","Environment,0.02+(0.04*x),8",,,,,
#,MilitarySpending,Gastos Militares,militaryspending,"Um moderno e bem equipado exército pode custar uma fortuna, e muitas pessoas acham que o dinheiro pode ser gasto em outros lugares. Outras pessoas (especialmente os patriotas) dizem que você não pode colocar um preço na liberdade e na segurança, e ainda falam sobre os benefícios para nossos empresários e tecnologias.",UNCANCELLABLE,0,0,9,19,FOREIGNPOLICY,1000,10030,"_default_,1.0;Wages,-0.1+(0.2*x)",8,0,0,,#Effects,"Patriot,-0.35+(0.62*x)","Unemployment,0.00-(0.23*x)","StateEmployees,0.00+(0.23*x)","_Terrorism,0-(0.2*x),4","StateEmployees_freq,-0.05+(0.16*x)","StateEmployees_income,-0.3+(0.09*x)","Liberal,-0.10*(x^4)",,,,
#,Monorail,Sistema Nacional de Monotrilhos,default,"Monotrilhos são muitas vezes vistos como o sistema de transporte do futuro. Eles são promovidos como sendo rápido, confiável e ambientalmente benéficos. O principal problema é no entanto o custo elevado. O tempo de construção também é uma consideração importante para que o investimento em uma rede nacional levaria muito tempo para dar uma boa recompensa eventualmente.",,14,14,8,8,TRANSPORT,2100,2320,,16,0,0,,#Effects,"CarUsage,-0.06-(0.10*x),2","Commuter,0.12+(0.15*x)","Unemployment,0-(0.05*x)",,,,,,,,
#,MortgageTaxRelief,Alivo da taxa de mortizacao,default,"Isto permite que as pessoas reivindiquem benefícios fiscais sobre os pagamentos de juros que eles têm que fazer quando eles pedirem dinheiro emprestado para comprar uma casa. Isso ajuda os compradores de casas para pagar os seus pagamentos de hipotecas, mas pode ser ressentido por aqueles que não estão em uma posição para comprar uma casa, uma vez que é efetivamente uma redução de impostos para compradores de casas.",,31,44,18,22,TAX,200,920,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"MiddleIncome,0.1+(0.18*x)","Socialist,-0.06-(0.07*x)","Poor,-0.07-(0.06*x)","_MiddleIncome,0+(0.09*x)",,,,,,,
#,Narcotics,Narcóticos,narcotics,"Drogas como maconha e heroína devem ser legalizada? Os defensores sugerem que é o crime associado à compra de medicamentos do mercado negro que causam problemas, e legalização de drogas iria reduzir a criminalidade. Os opositores apontam para os riscos de saúde e dizer que estaria dando em criminosos.",UNCANCELLABLE,37,37,27,20,LAWANDORDER,0,0,,5,0,0,,#Effects,"Liberal,-0.05+(0.2*x)","Parents,0.00-(0.15*x)","CrimeRate,0.00+(0.20*x)","Conservatives,0.05-(0.2*x)","LegalDrugConsumption,0.8*(GDP+0.2)*x",,,,,,
#,NationalService,Serviço Nacional,nationalservice,"Serviço militar obrigatório para alguns cidadãos, onde são ensinadas as noções básicas de como se defender este país de ataques tem alguns benefícios. Por exemplo, nos permitiria ter um exército regular menor. No entanto, existem preocupações sobre forçando as pessoas a pegar em armas contra a sua vontade.",,50,45,26,16,FOREIGNPOLICY,100,80,,1,0,0,,#Effects,"Liberal,-0.10-(0.02*x)","Patriot,0.15+(0.03*x)","Conservatives,0.20+(0.24*x)","Young,-0.20-(0.02*x)","Patriot_freq,0.10+(0.06*x)",,,,,,
#,OrganDonation,Doação de Órgãos,organdonation,"Não são poucos os que discordam que o transplante de órgãos é uma tecnologia incrível, mas ela exige uma oferta abundante de doadores. Infelizmente muitas pessoas não dão a consideração ao tópico. Alguns sugerem que uma política de 'optar para sair' é o melhor, assumindo que todos consentem com a doação, salvo indicação contrária. Outros sugerem que este não é um lugar para o Estado de interferir e permissão explícita deve ser solicitada.",,13,13,9,7,PUBLICSERVICES,8,10,,1,0,0,,#Effects,"Health,0.05+(0.06*x)","Religious,-0.08-(0.025*x)",,,,,,,,,
#,OrganicSubsidy,Subsidio para Fazendas Organicas ,default,"Os defensores da agricultura orgânica dizem que o Estado deve subsidiar este método de cultivo por causa dos benefícios de saúde de alimentos sem aromatizantes artificiais e aditivos. Naturalmente, essa medida é popular com os agricultores e ambientalistas, mas algumas pessoas vêem isso como uma distorção sem sentido do que deve ser um mercado livre.",,15,18,9,9,ECONOMY,190,800,,1,0,0,,#Effects,"Environmentalist,0.11+(0.09*x)","Farmers,0.10+(0.18*x)","Capitalist,-0.05-(0.02*x)","Health,0.02+(0.06*x),8","Farmers_income,0+(0.10*x)","Environmentalist_income,0+(0.05*x)","Farmers_freq,0.05+(0.09*x)",,,,
#,PetrolTax,Imposto de Petróleo,tax,#N/DISP,,49,28,36,10,TAX,0,0,,1,1150,21045,"CarUsage,0+(1.0*x)",#Effects,"CarUsage,0.00-(0.40*x),4","Motorist,0.00-(x^5)","Environmentalist,0.00+(0.20*x)","GDP,-0.13*(x^7),2","Motorist_income,0-(0.15*x)","Motorist_freq,0-(0.16*x)",,,,,
#,PhoneTapping,Escutas,phonetapping,"Do ponto de vista da lei e da ordem, escutas é uma arma essencial na luta contra a criminalidade organizada e o terrorismo. O problema é que é difícil de evitar o uso indevido de tal sistema, e os liberais estão ansiosos para apontar como escutas generalizada é um sinal muito sinistro de um estado policial.",,26,16,19,8,LAWANDORDER,10,40,,3,0,0,,#Effects,"Liberal,-0.1-(0.25*x)","CrimeRate,-0.05-(0.25*x)","_Terrorism,-0.05-(0.15*x)","_security_,(0.075+0.1*x)",,,,,,,
#,PlasticBagTax,Taxa de Sacola Plastica,default,"As sacolas plásticas, ao contrário do papel não são biodegradáveis ,​​ou seja, acabou terminando em grandes aterros já que não se decompõem . Um imposto sobre elas desencoraja seu uso e incentiva as pessoas a reutilizar-las. Os capitalistas só veem isso como a intromissão do Estado.",,4,1,1,0,TAX,6,7,,1,5.75,70.15,,#Effects,"Environmentalist,0.02+(0.03*x)","Capitalist,-0.02-(0.02*x)",,,,,,,,,
#,PoliceForce,Força Policial,default,"Todo governo precisa de uma força policial para garantir a ordem e que as leis sejam obedecidas, mas é uma questão de debate exatamente o quanto deve ser gasto com a polícia. Alguns concordam com uma grande força com a polícia em cada esquina, outros preferem menos agentes e abordagens tolerantes.",UNCANCELLABLE,25,37,4,18,LAWANDORDER,300,2320,"_default_,1.0;Wages,-0.1+(0.2*x)",6,0,0,,#Effects,"CrimeRate,-0.35*(x^0.6),4","ViolentCrimeRate,-0.52*(x^0.6),3","Conservatives,-0.2+(0.48*x)","StateEmployees,-0.15+(0.37*x)","StateEmployees_freq,-0.05+(0.1*x)","StateEmployees_income,-0.3+(0.09*x)","Unemployment,0-(0.03*x)",,,,
#,PollutionControls,Controle de Poluicao,pollutioncontrols,"Restrições sobre os produtos químicos e as emissões podem ser liberados na atmosfera. Reduz a poluição e aumentar a saúde, eventualmente, com um aumento económica.",,6,6,3,3,ECONOMY,10,24,,4,0,0,,#Effects,"Environmentalist,0.1+(0.13*x)","Capitalist,-0.02-(0.08*x)","Environment,0.1+(0.2*x),12","GDP,0-(0.05*x),4","CO2Emissions,-0.05-(0.14*x),12",,,,,,
#,PrisonerTagging,Monitoração de Prisioneiro,default,"Uma alternativa de alta tecnologia para o encarceramento que permite que as pessoas a re-integração com a comunidade após a libertação da prisão, permitindo simultaneamente que as autoridades policiais para mantenham um olhar atento sobre eles. Os liberais têm a preocupação de que tal sistema é um passo em direção a um estado policial que monitora cada movimento nosso.",,14,14,7,4,LAWANDORDER,16,32,,1,0,0,,#Effects,"Liberal,-0.10-(0.12*x)","CrimeRate,-0.05-(0.08*x)","ViolentCrimeRate,-0.05-(0.09*x)", ,,,,,,,
#,Prisons,Prisões,prisons,"Alguns argumentam que fornecer o número mínimo de celas frias é a única disposição que precisa ser feito para aqueles que violaram a lei. Outros sugerem que gastar mais dinheiro permite prisioneiros a serem reabilitados, bem como punidos e reduz as chances de reincidência.",UNCANCELLABLE,13,20,7,8,LAWANDORDER,100,1920,"CrimeRate,0.1+(0.9*x)",6,0,0,,#Effects,"CrimeRate,0.00-(0.07*x),8","Liberal,0.12*(x^4)","Conservatives,0.00+(0.12*x)","StateEmployees,0+(0.15*x)","StateEmployees_freq,-0.05+(0.1*x)","Unemployment,0-(0.02*x)",,,,,
#,PropertyTax,Taxa de Propriedade,tax,"A tributação do combustível pode ser uma grande fonte de renda para um governo, e também pode ser visto como uma política verde, incentivando as pessoas a dirigir menos, ou para usar os carros mais eficiente de combustível. Críticos sugerem que este é apenas mais um imposto cínico sobre o motorista, e alguns se queixam de que a alternativa (transporte público) não é uma opção viável para todos.",,37,33,19,10,TAX,0,0,,2,1150,12650,"GDP,0.5+(0.5*x)",#Effects,"_MiddleIncome,0-(0.1*x)","_HighIncome,0-(0.14*x)","Socialist,0+(0.12*x)","Capitalist,0-(0.15*x)","Equality,0+(0.15*x)","MiddleIncome,0-(0.32*x)","Wealthy,0-(x^11)","Retired,0-(0.28*x)", ,,
#,PublicLibraries,Bibliotecas Púlblicas,default,"As bibliotecas públicas oferecem uma série de serviços, atuando como um foco para as comunidades, proporcionando o acesso à informação e à literatura para pessoas com baixos rendimentos, e permitir que as pessoas a aprender novas habilidades fora do estabelecimento de ensino normal.",,10,21,6,9,PUBLICSERVICES,50,800,,4,0,0,,#Effects,"Education,0.02+(0.05*x),4","Equality,0.02+(0.02*x),4","Retired,0.03+(0.03*x)",,,,,,,,
#,RacialProfiling,Perfil Racial,default,"A discriminação racial (ou étnica) é a prática de usar a raça como um fator de identificação de criminosos e potenciais criminosos. Policiais afirmam que o uso de discriminação racial que lhes permite reduzir rapidamente as listas de potenciais suspeitos, e melhor concentrar os seus esforços, mas adversários temem que leva à discriminação racial pela polícia.",,32,16,18,8,LAWANDORDER,0,0,,1,0,0,,#Effects,"CrimeRate,0-(0.09*x)","ViolentCrimeRate,0-(0.09*x)","Liberal,-0.06-(0.06*x)","RacialTension,0.2+(0.1*x)","_Terrorism,-0.04-(-0.05*x)",,,,,,
#,RaceDiscriminationAct,Lei de Discriminação Racial,default,"Impede a discriminação dos cidadãos puramente na base da raça, ou seja, práticas empregatícias racistas etc",,2,26,1,10,LAWANDORDER,5,9,,1,0,0,,#Effects,"RacialTension,0-(0.14*x)","Liberal,0.1+(0.03*x)","EthnicMinorities,0.2+(0.1*x)","Conservatives,-0.05*(x^4)","_global_liberalism,0+(0.12*x),8",,,,,,
#,RailSubsidies,Subsídios Ferroviários,default,"Viajar de trem não é apenas mais ecológico do que a viagem de carro, é muito mais eficiente em termos de tempos de transporte e os congestionamentos. Claro que requer um investimento adequado a muito longo prazo, e, entretanto, os motoristas se ofender a subsidiar um sistema que eles não usam. Ele pode levar vários anos para os efeitos do investimento ferroviário para fazer efeito.",,18,18,10,9,TRANSPORT,500,4800,,24,0,0,,#Effects,"Commuter,0.10+(0.25*x)","Motorist,0.00-(0.20*x)","RailUsage,0.00+(0.35*x),8","_LowIncome,0+(0.06*x)","_MiddleIncome,0+(0.02*x)","Commuter_income,0+(0.1*x)","Commuter_freq,0+(0.12*x),4","Unemployment,0-(0.09*x)",,,
#,Recycling,Reciclagem,recycling,"Os defensores da reciclagem argumentam que jogar lixo em aterros sanitários só não é uma solução a longo prazo, e que o governo precisa mostrar o caminho, oferecendo instalações para reciclar o máximo de resíduos possível. Isto pode incluir jornais de reciclagem, papelão, garrafas e até mesmo alguns plásticos.",,13,18,4,4,ECONOMY,40,400,,5,0,0,,#Effects,"Environmentalist,0.05+(0.12*x)","Environment,0.01+(0.04*x)","Environmentalist_freq,0.02+(0.08*x),12",,,,,,,,
#,RoadBuilding,Construcao de Estradas,roadbuilding,"Embora os ambientalistas argumentam que muitas vezes mais estradas apenas geram mais congestionamento, não surpreendentemente não é assim que o motorista que está sentado no trânsito vê. A construção de novas estradas é um processo muito caro e muito lento, mas alguns sugerem a sua vital para manter nosso funcionamento economia.",UNCANCELLABLE,30,30,18,18,TRANSPORT,100,5100,,16,0,0, ,#Effects,"Motorist,-0.25+(0.55*x),4","Environmentalist,0.16-(0.40*x)","CarUsage,0.20+(0.29*x),4","TrafficCongestion,0-(0.3*x)","Unemployment,0-(0.05*x)", ,,,,,
#,RuralDevelopmentGrants,Subsídio Desenvolvimento Rural,default,"Com o avanço da tecnologia e cada vez mais cidadãos aceitar empregos em nossas cidades, existe o perigo de que a pobreza eo desemprego vai subir para níveis inaceitáveis ​​no campo. Bolsas de desenvolvimento rural que distorcem o mercado livre, mas também apoiar as empresas rurais e prevenir a pobreza entre os agricultores e outras ocupações rurais.",,27,27,18,15,ECONOMY,100,400,,6,0,0,,#Effects,"_LowIncome,0.02+(0.13*x)","Unemployment,0.00-(0.15*x)","Equality,0.00+(0.14*x)","Farmers,0.10+(0.30*x)","GDP,0.00+(0.06*x),4","Farmers_freq,0.02+(0.06*x),8",,,,,
#,SalesTax,Taxa de Vendas,salestax,"Imposto sobre vendas é o imposto clássico 'regressivo', que significa que ele não leva em conta a capacidade de pagamento. Os críticos argumentam que isso afeta desproporcionalmente os pobres e, portanto, aumenta a desigualdade. Os defensores argumentam que é relativamente fácil de coletar e afeta a todos, e é, portanto, justo. As empresas podem se opor a carga administrativa do imposto.",MULTIPLYINCOME,37,21,26,9,TAX,0,0,,1,575,61732,"GDP,0.2+(0.8*x);TaxEvasion,1.0-(0.2*x)",#Effects,"PovertyRate,0.00+(0.20*x)","SelfEmployed,0.00-(0.21*x)","Capitalist,0.00-(0.15*x)","Equality,-0.02-(0.32*x)","_LowIncome,0-(0.12*x)","_MiddleIncome,0-(0.06*x)",,,,,
#,SateliteRoadPricing,Preço das Estrada Satélite,default,"Um sistema caro, que requer transponders a serem instalados em carros de todo mundo e mantém o controle sobre o que as pessoas usam as estradas (e quando). Permite preço por estrada para o uso do carro que dá às autoridades locais um bom controle sobre a redução do congestionamento, sem sobrecarregar os motoristas em áreas rurais mais remotas que não têm sistema de transporte alternativo.",,52,21,26,14,TRANSPORT,2500,2000,,16,0,7015,"CarUsage,0+(1.0*x)",#Effects,"CarUsage,-0.25*(x^4),4","Motorist,-0.08-(0.06*x)","Environmentalist,0.06+(0.1*x)","Motorist_income,-0.04-(0.1*x)","Capitalist,0.05+(0.02*x)",,,,,,
#,SchoolBuses,Ônibus Escolares Subsidiados,default,"Os subsídios estatais para ônibus escolares garantem que cada aluno tem uma viagem eficiente e segura para a escola, ao passo que a redução do número de viagens curtas para a escola realizadas pelos pais, reduzindo assim o tráfego nas estradas. Os pais também são mais felizes sabendo que há ônibus escolares adequados e aprovados.",,14,21,7,10,TRANSPORT,250,520,,2,0,0,,#Effects,"Parents,0.07+(0.07*x)","BusUsage,0.05+(0.15*x),2",,,,,,,,,
#,SchoolPrayers,Orações Escolares,schoolprayers,"Os liberais, muitas vezes argumentam que a educação dos nossos cidadãos mais jovens devem ser mantidas totalmente separadas de qualquer ensinamentos religiosos. Por outro lado, ele argumentou que alguma oração obrigatória nas escolas é uma forma de promover os valores morais em nossas crianças.",,49,39,19,14,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.05+(0.15*x)","Liberal,-0.05-(0.05*x)","Religious_freq,0.04+(0.25*x),32","RacialTension,0.1+(0.11*x),2",,,,,,,
#,ScienceFunding,Financiamento de Ciência,sciencefunding,"Em alguns países, a maioria das pesquisas é financiada por empresas privadas. Ciência financiada pelo Estado pode ser útil para investir em projetos de pesquisa de longo prazo ou aqueles que não podem ser comercialmente gratificante. Os benefícios da pesquisa do setor do estado estão disponíveis gratuitamente para toda a população, em vez de patenteado por empresas.",UNCANCELLABLE,10,20,6,8,PUBLICSERVICES,85,4000,,4,0,0,,#Effects,"Technology,-0.10+(0.21*x),4","EnergyEfficiency,-0.1+(0.2*x),12","GDP,0+(0.08*x),20","StateEmployees,-0.15+(0.3*x)","StateEmployees_freq,-0.05+(0.1*x)","Unemployment,0-(0.03*x)",,,,,
#,SmallBusinessGrants,Bolsa Pequena Empresas,default,"A taxa de falha para as pequenas empresas é muito elevado. Nos primeiros anos de negociação, um subsídio do governo preferencial pode ser uma grande ajuda para começar um novo empreendimento do chão. Isso pode levar a um grande impulso para a economia, mas também pode ser uma política caro sem garantia de bons resultados.",,10,14,4,7,ECONOMY,100,5000,"GDP,0.25+(0.75*x)",2,0,0,,#Effects,"SelfEmployed,0.10+(0.25*x)","GDP,0.01+(0.05*x),8","Capitalist,0+(0.09*x)","_global_socialism,-0.04-(0.1*x),12","SelfEmployed_freq,0.02+(0.06*x),4","SelfEmployed_income,0.01+(0.15*x)","TradeUnionist_freq,-0.02-(0.04*x),4","Capitalist_income,0+(0.05*x),4",,,
#,SpaceProgram,Program Espacial,spaceprogram,"Invista em esforços de seu país para explorar o espaço! Bem como os benefícios puramente científicas, um programa espacial bem financiada vai aumentar o nível de especialização tecnológica em toda a economia. Ele também irá unir o país e incentivar o patriotismo.",,24,26,18,10,ECONOMY,1000,3900,,16,0,0,,#Effects,"Patriot,0.05+(0.15*x)","Patriot_freq,0.05+(0.15*x)","Unemployment,-0.02-(0.05*x)","StateEmployees,0.035+(0.075*x)","Technology,0+(0.12*x),16","Religious_freq,-0.02-(0.06*x),20",,,,,
#,SpeedCameras,Radar de Velocidade,speedcameras,"Radares de Velocidade são uma forma automatizada para impor restrições de velocidade nas nossas estradas, sem ter que investir uma fortuna na polícia de trânsito extras. Os defensores afirmam que reduzir mortes na estrada e liberar a polícia para lidar com o crime mais grave, os opositores afirmam que eles são uma maneira cínica de tributar o motorista e não tem nada a ver com a segurança",,39,14,14,7,LAWANDORDER,1,8,,5,11.5,210.45,,#Effects,"Motorist,0.00-(0.25*x)","Parents,0.01+(0.03*x)","Health,0.01+(0.015*x),4","Motorist,-0.02-(0.08*x)",,,,,,,
#,StateHealthService,Serviço de Saúde do Estado,healthservice,"Embora muitos cidadãos ficariam felizes em pagar para seu próprio tratamento de saúde particular, não quer dizer que o Estado não tem o dever de fornecer um nível mínimo de tratamento de saúde gratuito para todos, independentemente de renda. Serviços de saúde pode ser caro, por isso é uma questão de debate a respeito de quanto deve ser gasto.",,38,60,18,26,PUBLICSERVICES,3000,12000,"_default_,0.6;TobaccoUse,0+(0.1*x);Environment,0.2-(0.1*x);Alcoholism,0.1+(0.1*x);Wages,-0.1+(0.2*x)",12,0,0,,#Effects,"Poor,0.05+(0.15*x)","Capitalist,-0.02-(0.10*x)","Wealthy,0.00-(0.10*x)","Socialist,0.05+(0.11*x)","Health,0.25*(x^0.6)+0.05,4","Retired,0.00+(0.16*x)","Unemployment,0-(0.19*x)","StateEmployees,0.00+(0.22*x)","StateEmployees_freq,0+(0.1*x)","StateEmployees_income,0+(0.09*x)","_global_socialism,0+(0.08*x),4"
#,StateHousing,Habitação do Estado,default,"Alguns cidadãos preferem possuir suas próprias casas, mas o custo da habitação é tal que uma grande proporção da população vive em casa alugada. Habitação do Estado é fornecido, a uma taxa reduzida, para aqueles que não podem pagar a taxa de mercado. Isto pode ser caro para financiar, mas os benefícios sociais também são significativos.",,13,18,8,8,WELFARE,1000,8400,,16,0,0,,#Effects,"Capitalist,-0.02-(0.1*x)","Poor,0.05+(0.05*x)","Equality,0.03+(0.21*x)","Socialist,0+(0.20*x)","PovertyRate,0-(0.17*x)","_LowIncome,0+(0.17*x)","_global_socialism,0.03+(0.02*x),12",,,,
#,StatePensions,Pensões do Estado,default,"Ao invés de deixá-lo por conta do indivíduo para se sustentar após a aposentadoria, pensões do Estado podem garantir um padrão mínimo de vida para os idosos. Esteja ciente de que, como a expectativa de vida aumenta, o custo para o Estado de pagar pensões aumenta enormemente. O nível de pensão do Estado podem encorajar ou desencorajar os cidadãos para salvar em planos de previdência privada.",,19,49,9,26,WELFARE,2500,14000,"_default_,1.0;Health,0.2*(x^6)",2,0,0,,#Effects,"Capitalist,-0.02-(0.1*x)","Retired,0.2+(0.55*x)","Poor,0.07+(0.12*x)","PovertyRate,0-(0.2*x)","Retired_income,0.1+(0.2*x)","_global_socialism,0.03+(0.02*x),12","Retired_freq,0+(0.09*x),8",,,,
#,StateSchools,Escolas Estaduais,stateschools,"A educação gratuita para todos garante altos níveis de alfabetização e pode ser benéfico para a economia, especialmente aqueles setores da economia que necessitam de mão de obra especializada. O outro lado disso é que a educação do estado pode ser caro para o governo. Indivíduos ricos, não fazendo uso de escolas estaduais, pode ressentir-se subsidiá-los.",,30,42,18,21,PUBLICSERVICES,1000,10200,"_default_,1.0;Wages,-0.1+(0.2*x)",12,0,0,,#Effects,"Poor,0.04+(0.11*x)","Socialist,0.00+(0.20*x)","Education,0.3*(x^0.6)+ 0.07,8","PovertyRate,-0.08-(0.10*x)","StateEmployees,0.00+(0.14*x)","Unemployment,0-(0.19*x)","StateEmployees_freq,0+(0.1*x)","StateEmployees_income,0+(0.09*x)","_global_socialism,0.02+(0.04*x),12","Parents_freq,0+(0.025*x),8",
#,StemCells,Pesquisa de Célula Tronco,default,"Uma célula-tronco é um tipo primitivo de célula que pode ser desenvolvida em maioria dos tipos de células encontradas no corpo humano. Alguns cientistas afirmam que a pesquisa com células-tronco oferece uma grande esperança para a cura de doenças como diabetes e esclerose múltipla. No entanto, porque as células-tronco são retiradas de embriões humanos descartados, muitos grupos 'pró-vida' e religiosos se opõem a seu uso.",,45,45,21,15,PUBLICSERVICES,20,160,,4,0,0,,#Effects,"GDP,0.03+(0.035*x),22","Religious,-0.17-(0.1*x)","Conservatives,-0.02-(0.04*x)","Health,0.01+(0.02*x),16","Technology,0.02+(0.04*x)",,,,,,
